,date,changeinaccountspayable,changeinaccountsreceivable,changeininventory,depreciationamortization,other,stockbasedcompensation,ticker,deferredincometaxes,dividendspaid,effectofexchangeratechangesoncash,proceedsfromissuanceofdebt,repaymentsofdebt,capitalexpenditures,changeinaccruedexpenses,netcashprovidedbyfinancingactivities,netcashprovidedbyinvestingactivities,netcashprovidedbyoperatingactivities,netincreasedecreaseincash,repurchaseofstock,proceedsfromissuanceofstock
52,2023-12-31,0.0,0.0,,0.0,878400000.0,0.0,ADP,,0.0,0.0,,,0.0,0.0,,,,,,
53,2023-09-30,-30400000.0,-107900000.0,,398300000.0,-3555500000.0,58800000.0,ADP,,-515800000.0,-16300000.0,,,-39300000.0,-308600000.0,,,,,,
54,2023-03-31,0.0,0.0,,0.0,1043100000.0,0.0,ADP,,0.0,0.0,,,0.0,0.0,,,,,,
55,2022-12-31,0.0,0.0,,0.0,813100000.0,0.0,ADP,,0.0,0.0,,,0.0,0.0,,,,,,
56,2024-10-31,0.0,0.0,,51000000.0,443000000.0,0.0,ADSK,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,
57,2024-07-31,0.0,0.0,,44000000.0,450000000.0,0.0,ADSK,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,
58,2024-04-30,-166000000.0,526000000.0,,81000000.0,-831000000.0,149000000.0,ADSK,-25000000.0,,-6000000.0,71000000.0,,-7000000.0,,-61000000.0,-638000000.0,494000000.0,-211000000.0,,
59,2023-10-31,0.0,0.0,,0.0,431000000.0,0.0,ADSK,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,
60,2023-07-31,0.0,0.0,,0.0,406000000.0,0.0,ADSK,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,
61,2023-04-30,-168000000.0,630000000.0,,33000000.0,-951000000.0,165000000.0,ADSK,-30000000.0,,-8000000.0,71000000.0,,-9000000.0,,-523000000.0,0.0,723000000.0,-38000000.0,,
62,2022-10-31,0.0,0.0,,0.0,258000000.0,0.0,ADSK,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,
63,2024-09-30,0.0,0.0,,852700000.0,-296100000.0,,AEP,0.0,-26000000.0,,,,,,0.0,,0.0,0.0,,
64,2024-06-30,0.0,0.0,,821900000.0,-160400000.0,,AEP,0.0,-31000000.0,,,,,,0.0,,0.0,0.0,,
65,2024-03-31,-99500000.0,34900000.0,,787100000.0,83000000.0,,AEP,-113300000.0,-466900000.0,,,,,,129900000.0,,1442200000.0,-97200000.0,,
66,2023-09-30,0.0,0.0,,792300000.0,-233200000.0,,AEP,0.0,-30000000.0,,,,,,0.0,,0.0,0.0,,
67,2023-06-30,0.0,0.0,,741600000.0,-220900000.0,,AEP,0.0,-30000000.0,,,,,,0.0,,0.0,0.0,,
68,2023-03-31,-255900000.0,348400000.0,,775500000.0,-1827900000.0,,AEP,68000000.0,-431800000.0,,,,,,1364400000.0,,717800000.0,-163000000.0,,
69,2022-09-30,0.0,0.0,,821800000.0,673100000.0,,AEP,0.0,-40000000.0,,,,,,0.0,,0.0,0.0,,
70,2024-09-30,,,0.0,214000000.0,1315000000000000.0,,AFL,,0.0,0.0,,,,,,,,,,
71,2024-06-30,,,0.0,208000000.0,1059000000000000.0,,AFL,,0.0,0.0,,,,,,,,,,
72,2024-03-31,,,-50000000.0,215000000.0,-1841000000000000.0,,AFL,,-278000000.0,-28000000.0,,,,,,,,,,
73,2023-09-30,,,0.0,201000000.0,1146000000000000.0,,AFL,,0.0,0.0,,,,,,,,,,
74,2023-06-30,,,0.0,202000000.0,1079000000000000.0,,AFL,,0.0,0.0,,,,,,,,,,
75,2023-03-31,,,-28000000.0,205000000.0,-3105000000000000.0,,AFL,,-248000000.0,-14000000.0,,,,,,,,,,
76,2022-09-30,,,0.0,268000000.0,1397000000000000.0,,AFL,,0.0,0.0,,,,,,,,,,
77,2024-09-30,,,,0.0,374000000.0,,AIG,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
78,2024-06-30,,,,0.0,-8310000000.0,,AIG,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
79,2024-03-31,,,,913000000.0,-5768000000.0,,AIG,,-243000000.0,-29000000.0,,,,,-1141000000.0,308000000.0,519000000.0,0.0,,
80,2023-09-30,,,,0.0,3590000000.0,,AIG,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
81,2023-06-30,,,,0.0,1397000000.0,,AIG,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
82,2023-03-31,,,,1186000000.0,-9267000000.0,,AIG,,-241000000.0,2000000.0,,,,,817000000.0,-1474000000.0,497000000.0,0.0,,
83,2022-09-30,,,,0.0,1729000000.0,,AIG,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
84,2024-09-30,,0.0,,0.0,314100000.0,,AJG,0.0,0.0,,,,0.0,,0.0,,0.0,,,0.0
85,2024-06-30,,0.0,,0.0,285400000.0,,AJG,0.0,0.0,,,,0.0,,0.0,,0.0,,,0.0
86,2024-03-31,,-471900000.0,,207700000.0,877400000.0,,AJG,55700000.0,-130700000.0,,,,-29700000.0,,0.0,,789300000.0,,,52000000.0
87,2023-09-30,,0.0,,0.0,283200000.0,,AJG,0.0,0.0,,,,0.0,,0.0,,0.0,,,0.0
88,2023-06-30,,0.0,,0.0,235800000.0,,AJG,0.0,0.0,,,,0.0,,0.0,,0.0,,,0.0
89,2023-03-31,,-642200000.0,,159400000.0,1407300000.0,,AJG,31900000.0,-117400000.0,,,,-29700000.0,,958100000.0,,428500000.0,,,30300000.0
90,2022-09-30,,0.0,,0.0,256300000.0,,AJG,0.0,0.0,,,,0.0,,0.0,,0.0,,,0.0
91,2024-09-30,,,,0.0,1164000000.0,,ALL,,0.0,,,,0.0,,0.0,0.0,0.0,,,
92,2024-06-30,,,,0.0,347000000.0,,ALL,,0.0,,,,0.0,,0.0,0.0,0.0,,,
93,2025-01-26,-429000000.0,-764000000.0,-80000000.0,105000000.0,-4596000000000000.0,195000000.0,AMAT,668000000.0,,,200000000.0,,-381000000.0,,,,,,,
94,2024-07-28,0.0,0.0,0.0,0.0,1705000000000000.0,0.0,AMAT,0.0,,,0.0,,0.0,,,,,,,
95,2024-04-28,0.0,0.0,0.0,0.0,1722000000000000.0,0.0,AMAT,0.0,,,0.0,,0.0,,,,,,,
96,2024-01-28,-539000000.0,465000000.0,79000000.0,91000000.0,2272000000000000.0,170000000.0,AMAT,-72000000.0,,,100000000.0,,-229000000.0,,,,,,,
97,2023-07-30,0.0,0.0,0.0,0.0,1560000000000000.0,0.0,AMAT,0.0,,,0.0,,0.0,,,,,,,
98,2023-04-30,0.0,0.0,0.0,0.0,1575000000000000.0,0.0,AMAT,0.0,,,0.0,,0.0,,,,,,,
99,2023-01-29,-567000000.0,683000000.0,-122000000.0,120000000.0,4812000000000000.0,148000000.0,AMAT,-21000000.0,,,0.0,,-287000000.0,,,,,,,
100,2024-09-28,0.0,0.0,0.0,0.0,1230000000.0,0.0,AMD,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
101,2024-06-29,0.0,0.0,0.0,0.0,326000000.0,0.0,AMD,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
102,2024-03-30,-636000000.0,338000000.0,-368000000.0,810000000.0,90000000.0,371000000.0,AMD,-66000000.0,,,,,-40000000.0,,-129000000.0,-135000000.0,521000000.0,257000000.0,-4000000.0,
103,2023-09-30,0.0,0.0,0.0,0.0,593000000.0,0.0,AMD,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
104,2023-07-01,0.0,0.0,0.0,0.0,344000000.0,0.0,AMD,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
105,2023-04-01,73000000.0,86000000.0,-464000000.0,1006000000.0,-1311000000.0,309000000.0,AMD,308000000.0,,,,,-89000000.0,,-259000000.0,-1237000000.0,486000000.0,-1010000000.0,-241000000.0,
