,date,accountspayable,accountsreceivable,accumulatedothercomprehensiveincome,cashandcashequivalents,commonstock,inventory,other,othercurrentassets,othercurrentliabilities,propertyplantequipmentnet,retainedearnings,shortterminvestments,totalassets,totalcurrentassets,totalcurrentliabilities,totalequity,totalliabilities,totalliabilitiesandequity,ticker,additionalpaidincapital,deferredincometaxes,goodwill,intangibleassetsnet,longtermdebt,noncontrollinginterest,othernoncurrentassets,prepaidexpenses,shorttermdebt,accruedexpenses,deferredtaxassetsnoncurrent,preferredstock,treasurystock,othernoncurrentliabilities,longterminvestments
37,2024-05-31,357000000.0,1612000000000000.0,-276000000.0,7660000000000000.0,0.0,,5779000000000000.0,,,1969000000000000.0,3.5227e+16,405000000.0,3.0388e+16,1.1023e+16,9474000000000000.0,1.4843e+16,1.6008e+16,3.0007e+16,ADBE,1.2504e+16,1436000000000000.0,1.2803e+16,,,,1462000000000000.0,1346000000000000.0,,1899000000000000.0,,0.0,-32612000000.0,,
38,2024-03-01,300000000.0,2057000000000000.0,-277000000.0,6254000000000000.0,0.0,,3952000000000000.0,,,1988000000000000.0,3.3809e+16,566000000.0,2.9117e+16,1.0008e+16,9537000000000000.0,1.546e+16,1.4104e+16,2.8751e+16,ADBE,1.2037e+16,1310000000000000.0,1.2803e+16,,,,1265000000000000.0,1131000000000000.0,,1569000000000000.0,,0.0,-30109000000.0,,
39,2023-09-01,314000000.0,1851000000000000.0,-285000000.0,6601000000000000.0,0.0,,5406000000000000.0,,,2036000000000000.0,3.2012e+16,915000000.0,2.9463e+16,1.041e+16,8334000000000000.0,1.5776e+16,1.4055e+16,2.909e+16,ADBE,1.1195e+16,1065000000000000.0,1.28e+16,,,,1239000000000000.0,1043000000000000.0,,1714000000000000.0,,0.0,-27146000000.0,,
40,2023-06-02,346000000.0,1685000000000000.0,-297000000.0,5456000000000000.0,0.0,,5484000000000000.0,,,2032000000000000.0,3.0609e+16,1145000000.0,2.8227e+16,9274000000000000.0,8019000000000000.0,1.4838e+16,1.3755e+16,2.7838e+16,ADBE,1.0717e+16,964000000000000.0,1.2796e+16,,,,1125000000000000.0,988000000000000.0,,1786000000000000.0,,0.0,-26191000000.0,,
41,2023-03-03,308000000.0,1801000000000000.0,-307000000.0,4072000000000000.0,0.0,,5640000000000000.0,,,1967000000000000.0,2.9435e+16,1581000000.0,2.7069e+16,8342000000000000.0,7437000000000000.0,1.4206e+16,1.3199e+16,2.6667e+16,ADBE,1.0284e+16,826000000000000.0,1.2792e+16,,,,984000000000000.0,888000000000000.0,,1469000000000000.0,,0.0,-25206000000.0,,
42,2025-02-01,368939000.0,1192442000000000.0,-184969000.0,2349994000000000.0,82664000.0,1474656000000000.0,2.6251072e+16,,,3355240000000000.0,1.013159e+16,371460000.0,5.0000222e+16,4.223447e+16,1.0457044e+16,3.5070535e+16,,4.7967546e+16,ADI,,2514866000000000.0,2.694518e+16,9183038000000000.0,6618556000000000.0,,718336000.0,344524000.0,,1166343000000000.0,,0.0,,,
43,2024-08-03,424735000.0,1127158000000000.0,-169718000.0,2106032000000000.0,82750000.0,1427936000000000.0,2.6814625e+16,,,3395748000000000.0,1.0175296e+16,439667000.0,5.0723804e+16,4.3175438e+16,1.0738384e+16,3.5190109e+16,,4.8618374e+16,ADI,,2743015000000000.0,2.6909775e+16,9997707000000000.0,6655723000000000.0,,766778000.0,342143000.0,,956853000000000.0,,0.0,,,
44,2024-05-04,422683000.0,1004628000000000.0,-177201000.0,1939695000000000.0,82704000.0,1479081000000000.0,2.6817373e+16,,,3415220000000000.0,1.0239549e+16,424117000.0,5.1008187e+16,4.3668245e+16,1.0865252e+16,3.5248789e+16,,4.8861866e+16,ADI,,2887952000000000.0,2.6909775e+16,1.0434776e+16,6611681000000000.0,,762153000.0,346100000.0,,1066677000000000.0,,0.0,,,
45,2024-02-03,398107000.0,1196721000000000.0,-181285000.0,1303560000000000.0,82653000.0,1553221000000000.0,2.6712557e+16,,,3281937000000000.0,1.0393449e+16,0.0,5.0560638e+16,4.3972587e+16,1.0496027e+16,3.5548073e+16,,4.8388464e+16,ADI,,2975815000000000.0,2.6913134e+16,1.0871054e+16,5946673000000000.0,,734288000.0,362375000.0,,1071480000000000.0,,0.0,,,
46,2023-07-29,585570000.0,1616243000000000.0,-170854000.0,1149246000000000.0,83054000.0,1709313000000000.0,2.6691264e+16,,,2922781000000000.0,1.0286353e+16,0.0,5.1571619e+16,4.4511554e+16,1.1194191e+16,3.5903746e+16,,4.9346739e+16,ADI,,3150748000000000.0,2.6913134e+16,1.1762655e+16,6437650000000000.0,,688104000.0,360383000.0,,1277300000000000.0,,0.0,,,
47,2023-04-29,569002000.0,1616256000000000.0,-172363000.0,1177609000000000.0,83571000.0,1648136000000000.0,2.7039514e+16,,,2742016000000000.0,9839790000000000.0,0.0,5.1793597e+16,4.4799819e+16,1.1445561e+16,3.6013224e+16,,4.9544739e+16,ADI,,3325350000000000.0,2.6913134e+16,1.2261693e+16,6475646000000000.0,,634118000.0,302919000.0,,1514805000000000.0,,0.0,,,
48,2023-01-28,534659000.0,1629870000000000.0,-169734000.0,1670462000000000.0,84306000.0,1522942000000000.0,2.8031942e+16,,,2524655000000000.0,9297347000000000.0,0.0,5.2501698e+16,4.507302e+16,1.1806046e+16,3.6531485e+16,,5.023452e+16,ADI,,3477044000000000.0,2.6913134e+16,1.2763229e+16,6543250000000000.0,,604824000.0,338226000.0,,1385075000000000.0,,0.0,,,
49,2024-09-30,145200000.0,3323300000000000.0,-1100200000.0,2104900000000000.0,63900000.0,,1.18925e+16,1070500000.0,,692500000.0,2.40012e+16,,4.95114e+16,3.99112e+16,3.93724e+16,5348600000000000.0,4.54559e+16,4.95114e+16,ADP,,154400000.0,2369000000000000.0,1330300000000000.0,3922000000000000.0,,923200000.0,,6242500000.0,2973900000000000.0,,0.0,-20144900000.0,,
50,2024-03-31,84600000.0,3467700000000000.0,-1851900000.0,3291700000000000.0,63900000.0,,7301800000000000.0,957700000.0,,676500000.0,2.33661e+16,,6.41816e+16,5.56396e+16,5.49019e+16,4626700000000000.0,6.07995e+16,6.41816e+16,ADP,,64400000.0,2355400000000000.0,1295300000000000.0,2990700000000000.0,,1014700000.0,,0.0,3714500000000000.0,,0.0,-19305400000.0,,
51,2023-12-31,76800000.0,3380000000000000.0,-1745200000.0,1641300000000000.0,63900000.0,,6951500000000000.0,1020600000.0,,671000000.0,2.27571e+16,,5.70694e+16,4.85434e+16,4.80977e+16,4319600000000000.0,5.39955e+16,5.70694e+16,ADP,,68300000.0,2369800000000000.0,1315100000000000.0,2990200000000000.0,,995800000.0,,0.0,2634900000000000.0,,0.0,-19019100000.0,,
