,cik_str,ticker
533,1477049,PHYS
534,932787,STM
535,1601712,SYF
536,1973832,AU
537,1809587,BEKE
538,1546066,PBA
539,1604821,NTRA
540,1142231,HKHHY
541,29534,DG
542,313216,PHG
543,1324424,EXPE
544,1506293,PINS
545,1000697,WAT
546,1992829,SDZNY
547,827052,EIX
548,1618732,NTNX
549,1122411,ASX
550,48898,HUBB
551,105634,EME
552,1988894,AS
553,73124,NTRS
554,1113169,TROW
555,1469059,CKHGF
556,1126113,TELNY
557,1748790,AMCR
558,1378789,AER
559,1002047,NTAP
560,920148,LH
561,1709048,GFS
562,906163,NVR
563,910631,KOF
564,811156,CMS
565,818686,TEVA
566,1855612,GRAB
567,719955,WSM
568,1687229,INVH
569,1172724,GFI
570,857005,PTC
571,1069202,LII
572,1751788,DOW
573,1263043,SHG
574,1402436,SSNC
575,1090012,DVN
576,100493,TSN
577,1745201,VIK
578,822416,PHM
579,718940,BCE
580,1033767,UMC
581,1046102,RBA
582,1858985,ONON
583,1599298,SMMT
584,1713445,RDDT
585,1281761,RF
586,51253,IFF
587,1336920,LDOS
588,63754,MKC
589,1022079,DGX
590,920522,ESS
591,1022671,STLD
592,1403568,ULTA
593,1598110,CYBR
594,886986,TECK
595,858470,CTRA
596,1660134,OKTA
597,935703,DLTR
598,875045,BIIB
599,92380,LUV
600,106535,WY
601,60086,L
602,912595,MAA
603,922621,ERIE
604,1810997,XPEV
605,1802768,RPRX
606,1943896,RBRK
607,1489393,LYB
608,1136869,ZBH
609,1123360,GPN
610,106040,WDC
611,1766502,CHWY
612,1111711,NI
613,1780232,GFL
614,1849253,RYAN
615,701818,KGC
616,1163653,NMR
617,1027664,ESLT
618,858446,IHG
619,1190723,TS
620,898293,JBL
621,1474432,PSTG
622,1097864,ON
623,105016,WSO
624,1447669,TWLO
625,1665918,USFD
626,1889539,CRBG
627,1874178,RIVN
628,1444406,EC
629,1126328,PFG
630,1013237,FDS
631,1528396,GWRE
632,882602,OMVKY
633,849399,GEN
634,40987,GPC
635,1837240,SYM
636,91576,KEY
637,1883685,DKNG
638,1261333,DOCU
639,759944,CFG
640,75677,PKG
641,1001807,TLK
642,45012,HAL
643,864749,TRMB
644,1333141,FMS
645,1037038,RL
646,26324,CW
647,1564708,NWSA
648,790051,CSL
649,1035983,FIX
650,91440,SNA
651,1274494,FSLR
652,1116132,TPR
653,1552033,TRU
654,1286681,DPZ
655,1001290,BAP
656,1527166,CG
657,1880661,TPG
658,1439124,EBR
659,1575515,SFM
660,1820953,AFRM
661,1039610,EDPFY
662,48465,HRL
663,1985487,KSPI
664,1048695,FFIV
665,726958,CASY
666,77360,PNR
667,1333986,EQH
668,1179929,MOH
669,1673358,YUMC
670,1617640,ZG
671,1736297,ALAB
672,1567094,CNH
673,1773383,DT
674,14693,BF-A
675,711404,COO
676,21076,CLX
677,912593,SUI
678,1450123,JBSAY
679,1066119,VIV
680,1533232,BEP
681,866374,FLEX
682,352541,LNT
683,10456,BAX
684,1562401,AMH
685,1715801,SOAGY
686,861884,RS
687,910521,DECK
688,1161125,BCH
689,1406234,BIP
690,1441816,MDB
691,70318,THC
692,746515,EXPD
693,2019040,NPXYY
694,1287750,ARCC
695,74208,UDR
696,52988,J
697,1845338,MNDY
698,105770,WST
699,764478,BBY
700,904851,YPF
701,1579298,BURL
702,1711269,EVRG
703,1754581,FUTU
704,1531152,BJ
705,877212,ZBRA
706,1324404,CF
707,1521332,APTV
708,1331875,FNF
709,9389,BALL
710,1818874,SOFI
711,1423902,WES
712,1031308,BSY
713,110621,RPM
714,29989,OMC
715,1590955,PAYC
716,1468608,VDMCY
717,733099,RCI
718,1901440,ULS
719,887225,KEP
720,1095073,EG
721,868857,ACM
722,1677250,ZTO
723,1082554,UTHR
724,859737,HOLX
725,5513,UNM
726,1505880,PNDRY
727,1089063,DKS
728,1170858,SBS
729,879101,KIM
730,1326380,GME
731,1564408,SNAP
732,1837429,BNT
733,42888,GGG
734,1166003,XPO
735,8818,AVY
736,1618673,PFGC
737,1206264,SGI
738,728535,JBHT
739,1611983,LBRDA
740,1025378,WPC
741,889132,PKX
742,1030894,CLS
743,1910139,MBLY
744,1319161,WMG
745,832101,IEX
746,1127248,EMA
747,217346,TXT
748,1819994,RKLB
749,898174,RGA
750,1110803,ILMN
751,779152,JKHY
752,62996,MAS
753,1957132,SN
754,1097149,ALGN
755,910606,REG
756,1289460,TXRH
757,1973266,TKO
758,1289419,MORN
759,1443646,BAH
760,1434265,GMAB
761,1796209,APG
762,97210,TER
763,108312,WWD
764,1681459,FTI
765,21175,CNA
766,1646972,ACI
767,310522,FNMA
768,1069157,EWBC
769,1575965,GLPI
770,1838413,YMM
771,1032975,LOGI
772,895417,ELS
773,879169,INCY
774,1964738,SOLV
775,845982,SNN
776,1468174,H
777,906345,CPT
778,1579241,ALLE
779,352915,UHS
780,2042694,PRMB
781,820318,COHR
782,1302215,HLI
783,1347557,PAC
784,1579091,CART
785,15615,MTZ
786,822818,CLH
787,1590364,FTAI
788,914475,NBIX
789,1135951,RDY
790,1433270,AR
791,785161,EHC
792,1104506,INSM
793,1035443,ARE
794,1090425,LAMR
795,1163302,X
796,1043604,JNPR
797,1316835,BLDR
798,765880,DOC
799,1037540,BXP
800,930157,RTO
801,1294591,RKUNY
802,1131383,STN
803,1773751,HIMS
804,216228,ITT
805,17843,CRS
806,91419,SJM
807,1070423,PAA
808,936395,CIEN
809,1824920,IONQ
810,85535,RGLD
811,913144,RNR
812,939767,EXEL
813,1602065,VNOM
814,1047716,LTM
815,1486957,BWXT
816,1866581,BROS
817,1801729,NCLTY
818,1027552,BSAC
819,1043219,NLY
820,871464,HNGKY
821,38777,BEN
822,1056696,MANH
823,1324948,RBC
824,802481,PPC
825,1370946,OC
826,1219601,CCK
827,909327,SUZ
828,1285785,MOS
829,1043277,CHRW
830,1833756,DRS
831,945841,POOL
832,1018963,ATI
833,769218,AEG
834,1868159,LINE
835,1622536,TLN
836,1495153,MMYT
837,72331,NDSN
838,1101302,ENTG
839,1048477,BMRN
840,1794515,GTM
841,1438654,RDEIY
842,1124140,EXAS
843,2058897,CIB
844,1669162,KNSL
845,1086222,AKAM
846,89089,SCI
847,1178819,AGI
848,1720635,NVT
849,888491,OHI
850,1483994,HTHT
851,1856525,CNM
852,23217,CAG
853,1428439,ROKU
854,1070750,HST
855,1828108,AUR
856,31791,RVTY
857,1019849,PAG
858,1807794,CRDO
859,59527,LECO
860,2029472,PUGBY
861,938323,PSO
862,764622,PNW
863,1591698,PCTY
864,24545,TAP
865,350894,SEIC
866,40729,ALLY
867,1996862,BG
868,1842022,DTM
869,78128,WTRG
870,4457,UHAL
871,39911,GAP
872,1078642,CRRFY
873,1638826,TTAN
874,1584509,ARMK
875,1072397,BZLFY
876,1440130,UUGRY
877,4127,SWKS
878,1003935,NICE
879,1037976,JLL
880,1076378,CX
881,896622,ATR
882,1177394,SNX
883,1065696,LKQ
884,1060955,ICLR
885,927066,DVA
886,1810806,U
887,794170,TOL
888,1114700,GGAL
889,1321732,PEN
890,1330568,SLV
891,1787425,XP
892,749098,MGA
893,93556,SWK
894,1042046,AFG
895,1977102,BIRK
896,1783398,UWMC
897,1658566,PR
898,36966,FHN
899,1062579,DOX
900,96223,JEF
901,924805,FRHC
902,1611052,PCOR
903,1682852,MRNA
904,16732,CPB
905,1267238,AIZ
906,16058,CACI
907,1835830,KVYO
908,1433642,HLNE
909,1792044,VTRS
910,320335,GL
911,317540,COKE
912,2030781,SAIL
913,1352010,EPAM
914,1545772,BPYPP
915,1050140,DSGX
916,1944013,CR
917,1264136,WF
918,1481045,DSEEY
919,1236275,QXO
920,1123452,ASR
921,720672,SF
922,2057463,GLIBA
923,1447126,KAIKY
924,1516513,DOCS
925,1618921,WBA
926,1707753,ESTC
927,1015820,QGEN
928,1612042,ASND
929,1298675,CUBE
930,1023514,HMY
931,1170010,KMX
932,1639438,CAVA
933,2025410,SARO
934,1174922,WYNN
935,1513845,NBIS
936,1792580,OVV
937,1159152,JHX
938,1636222,WING
939,315852,RRC
940,831641,TTEK
941,892450,KT
942,915389,EMN
943,1725057,DAY
944,1065837,SKX
945,46080,HAS
946,74260,ORI
947,1717115,TEM
948,1049724,DLAKY
949,1423689,AGNC
950,1341766,CELH
951,1493594,MTSI
952,1262823,WLK
953,1000228,HSIC
954,20520,FYBR
955,1867072,KD
956,82811,RRX
957,91142,AOS
958,1623925,AM
959,71691,NYT
960,51644,IPG
961,1360901,EVR
962,764038,SSB
963,91388,SFD
964,1767582,LKNCY
965,1475922,PRI
966,1722482,AVTR
967,1046257,INGR
968,771992,PAAS
969,1501585,HII
970,1411207,ALSN
971,909037,SQM
972,1516324,BTDPY
973,49600,EGP
974,1021635,OGE
975,1571283,REXR
976,1428336,HQY
977,1541309,CSXXY
978,801337,WBS
979,806968,WPP
980,789570,MGM
981,109563,AIT
982,1637207,PLNT
983,1355444,ERJ
984,813828,PARA
985,941221,ICL
986,1576789,WIX
987,1573516,MUSA
988,933136,COOP
989,89439,MLI
990,1601992,SOTGY
991,929008,WCC
992,1668397,MEDP
993,1289688,JCYGY
994,937556,MASI
995,1913510,VFS
996,22356,CBSH
997,1604028,WMS
998,19584,CHE
999,1125376,ENSG
1000,1408710,FN
1001,1852131,NXT
1002,1826168,TIMB
1003,1115055,PNFP
1004,917251,ADC
1005,39263,CFR
1006,29644,DCI
1007,1013857,PEGA
1008,1789832,HESM
1009,34903,FRT
1010,1088856,CORT
1011,1780312,ASTS
1012,1023128,LAD
1013,1736541,NIO
1014,1173382,CAE
1015,1034670,ALV
1016,1212545,WAL
1017,1144215,AYI
1018,2000178,LOAR
1019,1327068,USO
1020,1278021,MKTX
1021,1811210,LCID
1022,1368622,AVAV
1023,1015650,SKM
1024,795403,WTS
1025,1015328,WTFC
1026,1633931,BLD
1027,1214816,AXS
1028,1237831,GMED
1029,1794669,FOUR
1030,1637810,FSV
1031,824142,AAON
1032,769520,MIDD
1033,101382,UMBF
1034,899689,VNO
1035,1513761,NCLH
1036,1372920,EDU
1037,1467623,DBX
1038,1169561,CVLT
1039,707179,ONB
1040,751364,NNN
1041,1507079,FND
1042,750004,LNW
1043,1398659,G
1044,1772016,BRBR
1045,1581068,BRX
1046,1699838,CFLT
1047,1723690,BILI
1048,880266,AGCO
1049,1635088,ROIV
1050,884614,UGI
1051,1849056,OKLO
1052,1653482,GTLB
1053,908937,SIRI
1054,1842827,BZ
1055,6201,AAL
1056,1552275,SUN
1057,737758,TTC
1058,1297989,EXLS
1059,1877322,ESAB
1060,28412,CMA
1061,12659,HRB
1062,1433195,APPF
1063,1061894,GIL
1064,842023,TECH
1065,1679273,LW
1066,891103,MTCH
1067,1655888,OBDC
1068,1437578,BFAM
1069,1437470,MYTHY
1070,911177,CWST
1071,70145,NFG
1072,1002638,OTEX
1073,1474735,GNRC
1074,892553,GTLS
1075,1380365,IDKOY
1076,703351,EAT
1077,908255,BWA
1078,1796022,STEP
1079,1736035,BXSL
1080,1529192,VIPS
1081,1588823,TFII
1082,1868778,INFA
1083,1675149,AA
1084,9092,BMI
1085,1308547,DLB
1086,1177702,SAIA
1087,94845,LEVI
1088,1859392,GLXY
1089,1604778,QRVO
1090,1492691,KNX
1091,763901,BPOP
1092,88205,SPXC
1093,1836470,SRAD
1094,1032033,SLM
1095,1124198,FLR
1096,275880,PSN
1097,1639300,OLLI
1098,1628171,RVMD
1099,1819848,JOBY
1100,23194,CRK
1101,1510599,PDI
1102,109380,ZION
1103,1889956,OS
1104,1703056,ADT
1105,1782754,AZEK
1106,84246,RLI
1107,1734722,PATH
1108,1648512,SHMXY
1109,1465128,STWD
1110,350698,AN
1111,915913,ALB
1112,1005284,OLED
1113,874761,AES
1114,1616862,AXTA
1115,20212,CHDN
1116,730272,RGEN
1117,1915657,DINO
1118,1759509,LYFT
1119,1438569,GRFS
1120,2041918,LOTMY
1121,918646,EXP
1122,7431,AWI
1123,1479094,STAG
1124,1408075,GPK
1125,1100682,CRL
1126,1159036,HALO
1127,1357615,KBR
1128,1954042,ZK
1129,921825,FR
1130,912615,URBN
1131,1068851,PB
1132,18349,SNV
1133,1990354,WAY
1134,1232524,JAZZ
1135,30625,FLS
1136,1157408,LRN
1137,1969302,PONY
1138,1722684,WH
1139,1647822,SVMB
1140,1583708,S
1141,1739104,ELAN
1142,67215,DY
1143,914208,IVZ
1144,1487712,AL
1145,775158,OSK
1146,701985,BBWI
1147,855658,LSCC
1148,920371,SSD
1149,1728951,EPRT
1150,28917,DDS
1151,1535929,VOYA
1152,66570,MSA
1153,1849853,STVN
1154,201533,CMS-PB
1155,1592386,VIRT
1156,102729,VMI
1157,1499620,TAL
1158,851968,MHK
1159,1829667,RGC
1160,100826,UELMO
1161,1806837,VERX
1162,1866364,BULL
1163,1177609,FIVE
1164,2053456,TGE
1165,876437,MTG
1166,1866368,CWAN
1167,12208,BIO
1168,60519,LPX
1169,1657312,VRNA
1170,56047,KEX
1171,1597264,BPMC
1172,766421,ALK
1173,1841666,APA
1174,1057877,IDA
1175,1041792,ELP
1176,1584207,OMF
1177,85961,R
1178,1869198,LTH
1179,1157557,CIG
1180,7536,ARW
1181,944695,THG
1182,1743881,BBIO
1183,913353,CIGI
1184,63276,MAT
1185,812011,MTN
1186,906553,BYD
1187,1439288,ZWS
1188,1567683,CWEN
1189,1433660,JBTM
1190,1040829,RHP
1191,1538118,YKLTY
1192,875357,BOKF
1193,1530950,POST
1194,1046311,CHH
1195,1069878,TREX
1196,1334036,CROX
1197,1824502,ACHR
1198,912958,TIGO
1199,1626115,PJT
1200,1422183,FSK
1201,1282637,NEU
1202,1519751,FBIN
1203,1347426,BMA
1204,1157601,MDGL
1205,1122491,BRFS
1206,1556593,RITM
1207,1109345,NVMI
1208,912767,UFPI
1209,1718227,ROAD
1210,1306830,CE
1211,1448893,ESNT
1212,1822993,JXN
1213,917273,RMBS
1214,849869,SLGN
1215,1274173,JHG
1216,1494728,PSLV
1217,1402388,WFG
1218,1995807,LB
1219,1476150,TRNO
1220,1741530,QFIN
1221,1049502,MKSI
1222,2040127,KRMN
1223,67887,MOG-A
1224,1590895,CZR
1225,1818201,CCCS
1226,1415404,SATS
1227,277509,FSS
1228,1069258,KTOS
1229,885550,CACC
1230,874238,STRL
1231,874866,CRVL
1232,59558,LNC
1233,2007191,TLX
1234,1726122,CEF
1235,1562476,TMHC
1236,1331520,HOMB
1237,1109354,BRKR
1238,1342874,TX
1239,840489,FCFS
1240,2023554,SNDK
1241,2013649,CHA
1242,1299939,CADE
1243,1472787,FAF
1244,856982,MMSI
1245,887936,FCN
1246,1001316,TGTX
1247,1434588,LOPE
1248,1632970,AHR
1249,1718512,GTES
1250,1405495,IDCC
1251,1031203,GPI
1252,1590717,CTRE
1253,1520006,MTDR
1254,1410384,QTWO
1255,1571123,SAIC
1256,1092699,SPSC
1257,1955520,KNF
1258,9326,BCPC
1259,2019061,SOBO
1260,1192448,GKOS
1261,1616707,W
1262,1633978,LITE
1263,1762506,VIST
1264,1815846,MNSO
1265,1620533,SHAK
1266,1835963,GLBE
1267,215466,CDE
1268,1071321,TKC
1269,1370637,ETSY
1270,96943,TFX
1271,22444,CMC
1272,1493318,ETOR
1273,1537003,FLMNY
1274,1823529,ACT
1275,1791863,BEPC
1276,1372612,BOX
1277,1073404,GGB
1278,821130,USM
1279,1786842,VNT
1280,1692115,SWX
1281,1361113,VRNS
1282,1507605,MARA
1283,772406,CRUS
1284,1108426,TXNM
1285,1650729,SITE
1286,230557,SIGI
1287,1486159,CHRD
1288,1026214,FMCC
1289,1590714,ESI
1290,874015,IONS
1291,1014739,OPCH
1292,40211,GATX
1293,1801198,LEGN
1294,1142417,NXST
1295,1600033,ELF
1296,780571,ITRI
1297,729986,UBSI
1298,1861560,NUVL
1299,1624794,CSWI
